transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,amount,usd_rate,exchange_rate,amount_usd,high_value_flag,high_risk_flag
T001,01-03-2026,Alpha Mart,420000,INR,Captured ,62,APAC,U001,UPI,420000,0.0119,0.0119,"$4,998.00",0,0
T002,01-03-2026,Alpha Mart,210000,INR,Captured ,55,APAC,U002,Card,210000,0.0119,0.0119,"$2,499.00",0,0
T003,01-03-2026,Beta  Stores,510000,INR,Captured ,71,APAC,U003,NetBanking,510000,0.0119,0.0119,"$6,069.00",0,1
T004,02-03-2026,Beta  Stores,160000,INR,Failed,68,APAC,U004,Card,160000,0.012,0.012,"$1,920.00",0,0
T005,02-03-2026,Alpha Mart,390000,INR,Captured ,58,APAC,U001,UPI,390000,0.012,0.012,"$4,680.00",0,0
T006,02-03-2026,Beta  Stores,275000,INR,Captured ,64,APAC,U005,Wallet,275000,0.012,0.012,"$3,300.00",0,0
T007,02-03-2026,Alpha  Mart,450000,INR,Chargeback,83,APAC,U006,Card,450000,0.012,0.012,"$5,400.00",0,1
T008,03-03-2026,Beta  Stores,340000,INR,Captured ,59,APAC,U007,UPI,340000,0.0121,0.0121,"$4,114.00",0,0
T009,03-03-2026,Alpha Mart,125000,INR,Captured ,46,APAC,U002,Wallet,125000,0.0121,0.0121,"$1,512.50",0,0
T010,03-03-2026,Beta Stores,610000,INR,Captured ,77,APAC,U003,Card,610000,0.0121,0.0121,"$7,381.00",1,1
T011,03-03-2026,Alpha  Mart,195000,INR,Failed,40,APAC,U008,UPI,195000,0.0121,0.0121,"$2,359.50",0,0
T012,04-03-2026,Beta  Stores,250000,INR,Captured ,61,APAC,U009,Card,250000,0.012,0.012,"$3,000.00",0,0
T013,04-03-2026,Alpha Mart,310000,INR,Captured ,54,APAC,U010,UPI,310000,0.012,0.012,"$3,720.00",0,0
T014,04-03-2026,Beta  Stores,470000,INR,Captured ,73,APAC,U001,NetBanking,470000,0.012,0.012,"$5,640.00",0,1
T015,04-03-2026,Alpha Mart,130000,INR,Captured ,52,APAC,U002,Card,130000,0.012,0.012,"$1,560.00",0,0
T016,05-03-2026,Beta  Stores,220000,INR,Failed,69,APAC,U008,Card,220000,0.0118,0.0118,"$2,596.00",0,0
T017,05-03-2026,Beta  Stores,180000,INR,Failed,72,APAC,U008,Card,180000,0.0118,0.0118,"$2,124.00",0,1
T018,05-03-2026,Beta  Stores,145000,INR,Chargeback,86,APAC,U008,UPI,145000,0.0118,0.0118,"$1,711.00",0,1
T019,05-03-2026,Alpha  Mart,260000,INR,Failed,67,APAC,U008,Wallet,260000,0.0118,0.0118,"$3,068.00",0,0
T020,05-03-2026,Alpha Mart,520000,INR,Captured ,75,APAC,U005,UPI,520000,0.0118,0.0118,"$6,136.00",1,1
T021,06-03-2026,Beta  Stores,330000,INR,Captured ,63,APAC,U006,Card,330000,0.0119,0.0119,"$3,927.00",0,0
T022,06-03-2026,Alpha Mart,410000,INR,Captured ,60,APAC,U007,UPI,410000,0.0119,0.0119,"$4,879.00",0,0
T023,01-03-2026,City Pharma,5200,EUR,Captured ,42, EU ,U003,Card,5200,1.08,1.08,"$5,616.00",0,0
T024,02-03-2026,Eco Home,6100,EUR,Chargeback,65,EU,U004,Card,6100,1.09,1.09,"$6,649.00",1,1
T025,03-03-2026,City Pharma,2800,EUR,Captured ,38, EU ,U005,Wallet,2800,1.08,1.08,"$3,024.00",0,0
T026,05-03-2026,Eco Home,3300,EUR,Failed,44, EU ,U006,NetBanking,3300,1.09,1.09,"$3,597.00",0,0
T027,01-03-2026,Delta Travels,7200,USD,Captured ,49,US,U007,Card,7200,1,1,"$7,200.00",1,0
T028,02-03-2026,Delta Travels,3100,USD,Captured ,41,US,U008,Card,3100,1,1,"$3,100.00",0,0
T029,04-03-2026,Delta Travels,2500,USD,Chargeback,58,US,U009,Wallet,2500,1,1,"$2,500.00",0,1
T030,06-03-2026,Delta Travels,1800,USD,Failed,47,US,U010,UPI,1800,1,1,"$1,800.00",0,0
